date,category,daily_spend
2026-04-01,Groceries & Food,11.99
2026-04-02,Groceries & Food,10.13
2026-04-03,Groceries & Food,12.53
2026-04-04,Groceries & Food,21.59
2026-04-05,Groceries & Food,16.39
2026-04-06,Groceries & Food,10.02
2026-04-07,Groceries & Food,15.51
2026-04-08,Groceries & Food,13.12
2026-04-09,Groceries & Food,9.45
2026-04-10,Groceries & Food,12.53
2026-04-11,Groceries & Food,16.13
2026-04-12,Groceries & Food,16.19
2026-04-13,Groceries & Food,11.77
2026-04-14,Groceries & Food,5.35
2026-04-15,Groceries & Food,5.96
2026-04-16,Groceries & Food,9.49
2026-04-17,Groceries & Food,8.18
2026-04-18,Groceries & Food,18.97
2026-04-19,Groceries & Food,15.37
2026-04-20,Groceries & Food,7.12
2026-04-21,Groceries & Food,15.8
2026-04-22,Groceries & Food,10.77
2026-04-23,Groceries & Food,11.69
2026-04-24,Groceries & Food,7.26
2026-04-25,Groceries & Food,16.89
2026-04-26,Groceries & Food,18.93
2026-04-27,Groceries & Food,8.22
2026-04-28,Groceries & Food,12.84
2026-04-29,Groceries & Food,9.96
2026-04-30,Groceries & Food,10.93
2026-05-01,Groceries & Food,10.04
2026-05-02,Groceries & Food,24.59
2026-05-03,Groceries & Food,19.06
2026-05-04,Groceries & Food,8.81
2026-05-05,Groceries & Food,14.5
2026-05-06,Groceries & Food,8.41
2026-05-07,Groceries & Food,12.75
2026-05-08,Groceries & Food,6.29
2026-05-09,Groceries & Food,15.55
2026-05-10,Groceries & Food,20.2
2026-05-11,Groceries & Food,14.52
2026-05-12,Groceries & Food,12.86
2026-05-13,Groceries & Food,12.04
2026-05-14,Groceries & Food,11.53
2026-05-15,Groceries & Food,8.04
2026-05-16,Groceries & Food,17.88
2026-05-17,Groceries & Food,18.73
2026-05-18,Groceries & Food,15.79
2026-05-19,Groceries & Food,13.69
2026-05-20,Groceries & Food,7.42
2026-05-21,Groceries & Food,13.72
2026-05-22,Groceries & Food,11.64
2026-05-23,Groceries & Food,18.51
2026-05-24,Groceries & Food,22.45
2026-05-25,Groceries & Food,16.02
2026-05-26,Groceries & Food,15.77
2026-05-27,Groceries & Food,10.5
2026-05-28,Groceries & Food,12.14
2026-05-29,Groceries & Food,14.1
2026-05-30,Groceries & Food,23.97
2026-05-31,Groceries & Food,19.68
2026-06-01,Groceries & Food,12.69
2026-06-02,Groceries & Food,9.97
2026-06-03,Groceries & Food,9.75
2026-06-04,Groceries & Food,15.82
2026-06-05,Groceries & Food,17.49
2026-06-06,Groceries & Food,21.34
2026-06-07,Groceries & Food,24.63
2026-06-08,Groceries & Food,14.64
2026-06-09,Groceries & Food,11.67
2026-06-10,Groceries & Food,14.73
2026-06-11,Groceries & Food,18.31
2026-06-12,Groceries & Food,13.63
2026-06-13,Groceries & Food,26.75
2026-06-14,Groceries & Food,14.27
2026-06-15,Groceries & Food,16.34
